DatasetID,year1,author1,DATA (B) 0.1,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
T0126007,1964,C.H.Johnson+,6.9e-5,0.0125,0.25,0.05,1.283e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,1.8e-4,0.0125,0.25,0.05,1.355e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,3.18e-4,0.0125,0.25,0.05,1.422e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,5.87e-4,0.0125,0.25,0.05,1.498e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,6.21e-4,0.0125,0.25,0.05,1.587e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00108,0.0125,0.25,0.05,1.68e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00181,0.0125,0.25,0.05,1.762e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00194,0.0125,0.25,0.05,1.847e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00298,0.0125,0.25,0.05,1.945e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00448,0.0125,0.25,0.05,2.035e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00624,0.0125,0.25,0.05,2.137e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00762,0.0125,0.25,0.05,2.21e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.00899,0.0125,0.25,0.05,2.29e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0126,0.0125,0.25,0.05,2.375e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0163,0.0125,0.25,0.05,2.455e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0182,0.0125,0.25,0.05,2.538e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0212,0.0125,0.25,0.05,2.627e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0245,0.0125,0.25,0.05,2.717e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0339,0.0125,0.25,0.05,2.81e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0406,0.0125,0.25,0.05,2.87e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0371,0.0125,0.25,0.05,2.898e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0429,0.0125,0.25,0.05,2.98e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0605,0.0125,0.25,0.05,3.078e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0527,0.0125,0.25,0.05,3.175e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0627,0.0125,0.25,0.05,3.243e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0745,0.0125,0.25,0.05,3.315e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0815,0.0125,0.25,0.05,3.337e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0968,0.0125,0.25,0.05,3.382e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0916,0.0125,0.25,0.05,3.467e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.0989,0.0125,0.25,0.05,3.547e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.118,0.0125,0.25,0.05,3.61e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.12,0.0125,0.25,0.05,3.688e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.111,0.0125,0.25,0.05,3.76e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.116,0.0125,0.25,0.05,3.835e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.136,0.0125,0.25,0.05,3.917e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.134,0.0125,0.25,0.05,3.993e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.15,0.0125,0.25,0.05,4.068e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.174,0.0125,0.25,0.05,4.15e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.171,0.0125,0.25,0.05,4.255e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.188,0.0125,0.25,0.05,4.34e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.184,0.0125,0.25,0.05,4.415e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.183,0.0125,0.25,0.05,4.51e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.216,0.0125,0.25,0.05,4.59e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.216,0.0125,0.25,0.05,4.675e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.219,0.0125,0.25,0.05,4.76e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.22,0.0125,0.25,0.05,4.847e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.251,0.0125,0.25,0.05,4.935e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.256,0.0125,0.25,0.05,5.023e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.271,0.0125,0.25,0.05,5.097e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.286,0.0125,0.25,0.05,5.198e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.294,0.0125,0.25,0.05,5.288e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.307,0.0125,0.25,0.05,5.375e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.324,0.0125,0.25,0.05,5.462e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.34,0.0125,0.25,0.05,5.563e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
